Country Name;Country code;Region code
Palestine, State of;PSE;XWS
Qatar;QAT;QAT
Saudi Arabia;SAU;SAU
Syrian Arab Republic;SYR;XWS
United Arab Emirates;ARE;ARE
Yemen;YEM;XWS
South Africa;ZAF;ZAF
Zambia;ZMB;ZMB
Zimbabwe;ZWE;ZWE
Antarctica;ATA;XTW
Bouvet Island;BVT;XTW
British Indian Ocean Territory;IOT;XTW
French Southern Territories;ATF;XTW
