X;CountryCode;individual;OECD;European Union;ASEAN
Martinique;MTQ;FALSE;FALSE;FALSE;FALSE
Mauritania;MRT;FALSE;FALSE;FALSE;FALSE
Mauritius;MUS;FALSE;FALSE;FALSE;FALSE
Mayotte;MYT;FALSE;FALSE;FALSE;FALSE
Mexico;MEX;TRUE;TRUE;FALSE;FALSE
Micronesia, Federated States of;FSM;FALSE;FALSE;FALSE;FALSE
Moldova, Republic of;MDA;FALSE;FALSE;FALSE;FALSE
Monaco;MCO;FALSE;FALSE;FALSE;FALSE
Mongolia;MNG;FALSE;FALSE;FALSE;FALSE
Montenegro;MNE;FALSE;FALSE;FALSE;FALSE
Montserrat;MSR;FALSE;FALSE;FALSE;FALSE
Morocco;MAR;FALSE;FALSE;FALSE;FALSE
Mozambique;MOZ;FALSE;FALSE;FALSE;FALSE
Myanmar;MMR;FALSE;FALSE;FALSE;TRUE
Namibia;NAM;FALSE;FALSE;FALSE;FALSE
Nauru;NRU;FALSE;FALSE;FALSE;FALSE
Nepal;NPL;FALSE;FALSE;FALSE;FALSE
Netherlands;NLD;FALSE;TRUE;TRUE;FALSE
New Caledonia;NCL;FALSE;FALSE;FALSE;FALSE
New Zealand;NZL;FALSE;TRUE;FALSE;FALSE
Nicaragua;NIC;FALSE;FALSE;FALSE;FALSE
Niger;NER;FALSE;FALSE;FALSE;FALSE
Nigeria;NGA;FALSE;FALSE;FALSE;FALSE
Niue;NIU;FALSE;FALSE;FALSE;FALSE
Norfolk Island;NFK;FALSE;FALSE;FALSE;FALSE
Northern Mariana Islands;MNP;FALSE;FALSE;FALSE;FALSE
Norway;NOR;FALSE;TRUE;FALSE;FALSE
Oman;OMN;FALSE;FALSE;FALSE;FALSE
Pakistan;PAK;FALSE;FALSE;FALSE;FALSE
Palau;PLW;FALSE;FALSE;FALSE;FALSE
Palestine, State of;PSE;FALSE;FALSE;FALSE;FALSE
Panama;PAN;FALSE;FALSE;FALSE;FALSE
Papua New Guinea;PNG;FALSE;FALSE;FALSE;FALSE
Paraguay;PRY;FALSE;FALSE;FALSE;FALSE
Peru;PER;FALSE;FALSE;FALSE;FALSE
Philippines;PHL;FALSE;FALSE;FALSE;TRUE
Pitcairn;PCN;FALSE;FALSE;FALSE;FALSE
Poland;POL;FALSE;TRUE;TRUE;FALSE
Portugal;PRT;FALSE;TRUE;TRUE;FALSE
Puerto Rico;PRI;FALSE;FALSE;FALSE;FALSE
Qatar;QAT;FALSE;FALSE;FALSE;FALSE
Reunion;REU;FALSE;FALSE;FALSE;FALSE
Romania;ROU;FALSE;FALSE;TRUE;FALSE
Russian Federation;RUS;TRUE;FALSE;FALSE;FALSE
Rwanda;RWA;FALSE;FALSE;FALSE;FALSE
Saint Barthelemy;BLM;FALSE;FALSE;FALSE;FALSE
Saint Helena, Ascension and Tristan da Cunha;SHN;FALSE;FALSE;FALSE;FALSE
Saint Kitts and Nevis;KNA;FALSE;FALSE;FALSE;FALSE
Saint Lucia;LCA;FALSE;FALSE;FALSE;FALSE
Saint Martin (French part);MAF;FALSE;FALSE;FALSE;FALSE
Saint Pierre and Miquelon;SPM;FALSE;FALSE;FALSE;FALSE
Saint Vincent and the Grenadines;VCT;FALSE;FALSE;FALSE;FALSE
Samoa;WSM;FALSE;FALSE;FALSE;FALSE
San Marino;SMR;FALSE;FALSE;FALSE;FALSE
Sao Tome and Principe;STP;FALSE;FALSE;FALSE;FALSE
Saudi Arabia;SAU;FALSE;FALSE;FALSE;FALSE
Senegal;SEN;FALSE;FALSE;FALSE;FALSE
Serbia;SRB;FALSE;FALSE;FALSE;FALSE
Seychelles;SYC;FALSE;FALSE;FALSE;FALSE
Sierra Leone;SLE;FALSE;FALSE;FALSE;FALSE
Singapore;SGP;FALSE;FALSE;FALSE;TRUE
Sint Maarten (Dutch part);SXM;FALSE;FALSE;FALSE;FALSE
Slovakia;SVK;FALSE;TRUE;TRUE;FALSE
Slovenia;SVN;FALSE;TRUE;TRUE;FALSE
Solomon Islands;SLB;FALSE;FALSE;FALSE;FALSE
Somalia;SOM;FALSE;FALSE;FALSE;FALSE
South Africa;ZAF;TRUE;FALSE;FALSE;FALSE
South Georgia and the South Sandwich Islands;SGS;FALSE;FALSE;FALSE;FALSE
South Sudan;SSD;FALSE;FALSE;FALSE;FALSE
Spain;ESP;FALSE;TRUE;TRUE;FALSE
Sri Lanka;LKA;FALSE;FALSE;FALSE;FALSE
Sudan;SDN;FALSE;FALSE;FALSE;FALSE
Suriname;SUR;FALSE;FALSE;FALSE;FALSE
Svalbard and Jan Mayen;SJM;FALSE;FALSE;FALSE;FALSE
Swaziland;SWZ;FALSE;FALSE;FALSE;FALSE
Sweden;SWE;FALSE;TRUE;TRUE;FALSE
Switzerland;CHE;FALSE;TRUE;FALSE;FALSE
Syrian Arab Republic;SYR;FALSE;FALSE;FALSE;FALSE
Taiwan, Province of China;TWN;FALSE;FALSE;FALSE;FALSE
Tajikistan;TJK;FALSE;FALSE;FALSE;FALSE
Tanzania, United Republic of;TZA;FALSE;FALSE;FALSE;FALSE
Thailand;THA;FALSE;FALSE;FALSE;TRUE
Timor-Leste;TLS;FALSE;FALSE;FALSE;FALSE
Togo;TGO;FALSE;FALSE;FALSE;FALSE
Tokelau;TKL;FALSE;FALSE;FALSE;FALSE
Tonga;TON;FALSE;FALSE;FALSE;FALSE
Trinidad and Tobago;TTO;FALSE;FALSE;FALSE;FALSE
Tunisia;TUN;FALSE;FALSE;FALSE;FALSE
Turkey;TUR;FALSE;TRUE;FALSE;FALSE
Turkmenistan;TKM;FALSE;FALSE;FALSE;FALSE
Turks and Caicos Islands;TCA;FALSE;FALSE;FALSE;FALSE
Tuvalu;TUV;FALSE;FALSE;FALSE;FALSE
Uganda;UGA;FALSE;FALSE;FALSE;FALSE
Ukraine;UKR;FALSE;FALSE;FALSE;FALSE
United Arab Emirates;ARE;FALSE;FALSE;FALSE;FALSE
United Kingdom;GBR;FALSE;TRUE;TRUE;FALSE
United States;USA;TRUE;TRUE;FALSE;FALSE
United States Minor Outlying Islands;UMI;FALSE;FALSE;FALSE;FALSE
Uruguay;URY;FALSE;FALSE;FALSE;FALSE
Uzbekistan;UZB;FALSE;FALSE;FALSE;FALSE
Vanuatu;VUT;FALSE;FALSE;FALSE;FALSE
Venezuela, Bolivarian Republic of;VEN;FALSE;FALSE;FALSE;FALSE
Viet Nam;VNM;FALSE;FALSE;FALSE;TRUE
Virgin Islands, British;VGB;FALSE;FALSE;FALSE;FALSE
Virgin Islands, U.S.;VIR;FALSE;FALSE;FALSE;FALSE
Wallis and Futuna;WLF;FALSE;FALSE;FALSE;FALSE
Western Sahara;ESH;FALSE;FALSE;FALSE;FALSE
Yemen;YEM;FALSE;FALSE;FALSE;FALSE
Zambia;ZMB;FALSE;FALSE;FALSE;FALSE
Zimbabwe;ZWE;FALSE;FALSE;FALSE;FALSE
